produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg,data_inicial,data_final
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,12-05-2025 - 16-05-2025,2,PREÇO RECEBIDO P/ PR,32.0,2025-05-12,2025-05-16
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,19-05-2025 - 23-05-2025,3,PREÇO RECEBIDO P/ PR,32.0,2025-05-19,2025-05-23
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,26-05-2025 - 30-05-2025,4,PREÇO RECEBIDO P/ PR,32.0,2025-05-26,2025-05-30
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,02-06-2025 - 06-06-2025,1,PREÇO RECEBIDO P/ PR,30.0,2025-06-02,2025-06-06
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,16-06-2025 - 20-06-2025,3,PREÇO RECEBIDO P/ PR,26.0,2025-06-16,2025-06-20
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,09-06-2025 - 13-06-2025,2,PREÇO RECEBIDO P/ PR,26.0,2025-06-09,2025-06-13
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,02-06-2025 - 06-06-2025,1,PREÇO RECEBIDO P/ PR,23.5,2025-06-02,2025-06-06
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,23-06-2025 - 27-06-2025,4,PREÇO RECEBIDO P/ PR,21.0,2025-06-23,2025-06-27
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,16-06-2025 - 20-06-2025,3,PREÇO RECEBIDO P/ PR,21.0,2025-06-16,2025-06-20
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,09-06-2025 - 13-06-2025,2,PREÇO RECEBIDO P/ PR,21.0,2025-06-09,2025-06-13
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,09-06-2025 - 13-06-2025,2,PREÇO RECEBIDO P/ PR,28.0,2025-06-09,2025-06-13
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,16-06-2025 - 20-06-2025,3,PREÇO RECEBIDO P/ PR,28.0,2025-06-16,2025-06-20
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,23-06-2025 - 27-06-2025,4,PREÇO RECEBIDO P/ PR,28.0,2025-06-23,2025-06-27
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,16-06-2025 - 20-06-2025,3,PREÇO RECEBIDO P/ PR,23.0,2025-06-16,2025-06-20
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,23-06-2025 - 27-06-2025,4,PREÇO RECEBIDO P/ PR,26.0,2025-06-23,2025-06-27
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,23-06-2025 - 27-06-2025,4,PREÇO RECEBIDO P/ PR,23.0,2025-06-23,2025-06-27
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,09-06-2025 - 13-06-2025,2,PREÇO RECEBIDO P/ PR,24.0,2025-06-09,2025-06-13
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,02-06-2025 - 06-06-2025,1,PREÇO RECEBIDO P/ PR,26.0,2025-06-02,2025-06-06
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,6,02-06-2025 - 06-06-2025,1,PREÇO RECEBIDO P/ PR,28.0,2025-06-02,2025-06-06
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,28-07-2025 - 01-08-2025,5,PREÇO RECEBIDO P/ PR,21.3,2025-07-28,2025-08-01
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,30-06-2025 - 04-07-2025,1,PREÇO RECEBIDO P/ PR,26.0,2025-06-30,2025-07-04
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,28-07-2025 - 01-08-2025,5,PREÇO RECEBIDO P/ PR,15.6,2025-07-28,2025-08-01
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,21-07-2025 - 25-07-2025,4,PREÇO RECEBIDO P/ PR,19.0,2025-07-21,2025-07-25
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,14-07-2025 - 18-07-2025,3,PREÇO RECEBIDO P/ PR,19.6,2025-07-14,2025-07-18
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,30-06-2025 - 04-07-2025,1,PREÇO RECEBIDO P/ PR,21.6,2025-06-30,2025-07-04
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,7,07-07-2025 - 11-07-2025,2,PREÇO RECEBIDO P/ PR,21.0,2025-07-07,2025-07-11
